Date	Close
07.07.05	83.86
08.07.05	86.11
11.07.05	87.48
12.07.05	86.46
13.07.05	87.12
14.07.05	87.03
15.07.05	87.21
18.07.05	87.36
19.07.05	88.57
20.07.05	89.49
21.07.05	89.78
22.07.05	90.08
25.07.05	90.64
26.07.05	90.86
27.07.05	91.34
28.07.05	93.15
29.07.05	92.33
01.08.05	93.37
02.08.05	94.26
03.08.05	93.02
04.08.05	91.88
05.08.05	91.17
08.08.05	91.52
09.08.05	93.72
10.08.05	96.98
11.08.05	96.76
12.08.05	95.73
15.08.05	96.10
16.08.05	96.75
17.08.05	95.75
18.08.05	94.65
19.08.05	95.94
22.08.05	96.78
23.08.05	95.31
24.08.05	95.42
25.08.05	93.11
26.08.05	90.89
29.08.05	91.06
30.08.05	90.95
31.08.05	92.40
01.09.05	91.70
02.09.05	91.08
05.09.05	92.71
06.09.05	94.25
07.09.05	95.23
08.09.05	96.28
09.09.05	96.08
12.09.05	92.89
13.09.05	91.17
14.09.05	92.16
15.09.05	92.94
16.09.05	94.25
19.09.05	92.84
20.09.05	93.54
21.09.05	91.87
22.09.05	90.82
23.09.05	91.97
26.09.05	94.91
27.09.05	94.56
28.09.05	98.13
29.09.05	97.78
30.09.05	98.96
03.10.05	99.11
04.10.05	100.23
05.10.05	98.56
06.10.05	97.39
07.10.05	98.81
10.10.05	100.95
11.10.05	101.80
12.10.05	101.21
13.10.05	100.93
14.10.05	102.13
17.10.05	102.50
18.10.05	101.53
19.10.05	99.27
20.10.05	100.47
21.10.05	100.17
24.10.05	101.58
25.10.05	102.42
26.10.05	103.41
27.10.05	101.62
28.10.05	101.50
31.10.05	103.79
01.11.05	104.49
02.11.05	105.00
03.11.05	105.60
04.11.05	105.00
07.11.05	105.60
08.11.05	105.09
09.11.05	105.14
10.11.05	106.20
11.11.05	105.26
14.11.05	105.25
15.11.05	105.48
16.11.05	105.34
17.11.05	105.88
18.11.05	107.38
21.11.05	107.48
22.11.05	107.55
23.11.05	107.34
24.11.05	107.47
25.11.05	108.02
28.11.05	108.48
29.11.05	109.14
30.11.05	108.78
01.12.05	110.86
02.12.05	112.71
05.12.05	113.10
06.12.05	113.36
07.12.05	111.21
08.12.05	110.51
09.12.05	110.46
12.12.05	111.47
13.12.05	110.88
14.12.05	110.08
15.12.05	110.55
16.12.05	112.05
19.12.05	112.44
20.12.05	112.17
21.12.05	113.54
22.12.05	112.97
23.12.05	113.32
27.12.05	114.25
28.12.05	113.94
29.12.05	113.72
30.12.05	112.70
02.01.06	113.68
03.01.06	114.69
04.01.06	117.46
05.01.06	117.86
06.01.06	119.44
09.01.06	118.83
10.01.06	116.75
11.01.06	117.58
12.01.06	116.80
13.01.06	114.22
16.01.06	115.00
17.01.06	113.41
18.01.06	110.58
19.01.06	112.02
20.01.06	110.37
23.01.06	110.62
24.01.06	109.32
25.01.06	112.16
26.01.06	114.88
27.01.06	116.94
30.01.06	116.98
31.01.06	116.85
01.02.06	115.44
02.02.06	113.02
03.02.06	113.79
06.02.06	114.69
07.02.06	115.30
08.02.06	115.27
09.02.06	116.61
10.02.06	115.98
13.02.06	116.54
14.02.06	116.85
15.02.06	116.13
16.02.06	117.73
17.02.06	118.30
20.02.06	117.86
21.02.06	116.94
22.02.06	118.47
23.02.06	118.91
24.02.06	119.64
27.02.06	121.05
28.02.06	119.27
01.03.06	121.47
02.03.06	119.19
03.03.06	117.48
06.03.06	118.08
07.03.06	116.55
08.03.06	113.26
09.03.06	114.38
10.03.06	116.04
13.03.06	117.79
14.03.06	119.05
15.03.06	120.54
16.03.06	118.61
17.03.06	118.83
20.03.06	118.64
21.03.06	120.37
22.03.06	120.25
23.03.06	120.06
24.03.06	119.67
27.03.06	119.36
28.03.06	119.40
29.03.06	121.29
30.03.06	122.91
31.03.06	121.37
03.04.06	122.40
04.04.06	122.27
05.04.06	122.47
06.04.06	121.38
07.04.06	119.24
10.04.06	119.24
11.04.06	117.19
12.04.06	116.72
13.04.06	116.57
18.04.06	117.33
19.04.06	117.99
20.04.06	119.44
21.04.06	118.30
24.04.06	116.45
25.04.06	116.28
26.04.06	116.77
27.04.06	118.13
28.04.06	116.89
02.05.06	117.97
03.05.06	115.92
04.05.06	115.46
05.05.06	119.44
08.05.06	120.86
09.05.06	120.55
10.05.06	119.26
11.05.06	118.49
12.05.06	115.22
15.05.06	114.19
16.05.06	113.98
17.05.06	108.94
18.05.06	108.91
19.05.06	108.68
22.05.06	106.34
23.05.06	109.15
24.05.06	106.30
25.05.06	107.85
26.05.06	109.15
29.05.06	108.26
30.05.06	105.10
31.05.06	107.72
01.06.06	107.22
02.06.06	107.06
05.06.06	106.79
06.06.06	103.83
07.06.06	104.33
08.06.06	100.80
09.06.06	103.02
12.06.06	101.37
13.06.06	98.67
14.06.06	99.11
15.06.06	103.74
16.06.06	102.14
19.06.06	104.84
20.06.06	105.90
21.06.06	106.14
22.06.06	107.74
23.06.06	106.53
26.06.06	106.37
27.06.06	105.27
28.06.06	105.48
29.06.06	108.69
30.06.06	109.60
03.07.06	110.08
04.07.06	110.61
05.07.06	108.24
06.07.06	109.23
07.07.06	109.09
10.07.06	109.04
11.07.06	107.48
12.07.06	107.46
13.07.06	105.20
14.07.06	102.83
17.07.06	102.75
18.07.06	102.49
19.07.06	106.08
20.07.06	106.51
21.07.06	105.78
24.07.06	108.13
25.07.06	107.37
26.07.06	107.88
27.07.06	108.96
28.07.06	109.63
31.07.06	109.13
01.08.06	107.67
02.08.06	109.39
03.08.06	109.50
04.08.06	113.52
07.08.06	111.63
08.08.06	112.07
09.08.06	113.38
10.08.06	112.83
11.08.06	114.11
14.08.06	115.43
15.08.06	116.38
16.08.06	116.46
17.08.06	117.31
18.08.06	116.92
21.08.06	116.45
22.08.06	115.44
23.08.06	114.91
24.08.06	116.06
25.08.06	115.98
28.08.06	116.64
29.08.06	116.53
30.08.06	117.00
31.08.06	117.46
01.09.06	118.02
04.09.06	118.99
05.09.06	118.41
06.09.06	117.22
07.09.06	116.06
08.09.06	117.13
11.09.06	118.15
12.09.06	119.65
13.09.06	119.62
14.09.06	119.26
15.09.06	119.80
18.09.06	119.26
19.09.06	117.15
20.09.06	119.52
21.09.06	120.15
22.09.06	119.26
25.09.06	119.82
26.09.06	121.86
27.09.06	121.92
28.09.06	121.17
29.09.06	121.10
02.10.06	120.85
03.10.06	120.80
04.10.06	123.03
05.10.06	124.67
06.10.06	124.63
09.10.06	124.67
10.10.06	127.17
11.10.06	126.89
12.10.06	127.88
13.10.06	129.03
16.10.06	129.12
17.10.06	126.11
18.10.06	127.44
19.10.06	126.62
20.10.06	128.08
23.10.06	128.95
24.10.06	128.93
25.10.06	128.39
26.10.06	129.24
27.10.06	128.57
30.10.06	128.75
31.10.06	129.04
01.11.06	129.86
02.11.06	128.66
03.11.06	127.72
06.11.06	131.24
07.11.06	133.00
08.11.06	134.17
09.11.06	135.45
10.11.06	134.43
13.11.06	135.14
14.11.06	134.61
15.11.06	134.71
16.11.06	133.61
17.11.06	133.09
20.11.06	134.61
21.11.06	134.48
22.11.06	135.17
23.11.06	135.10
24.11.06	132.26
27.11.06	128.40
28.11.06	129.64
29.11.06	131.59
30.11.06	130.40
01.12.06	128.83
04.12.06	129.55
05.12.06	131.64
06.12.06	131.86
07.12.06	132.76
08.12.06	131.85
11.12.06	131.97
12.12.06	132.23
13.12.06	133.66
14.12.06	135.31
15.12.06	136.23
18.12.06	138.72
19.12.06	137.60
20.12.06	139.09
21.12.06	138.34
22.12.06	137.29
27.12.06	138.51
28.12.06	138.29
29.12.06	137.33
02.01.07	138.87
03.01.07	139.77
04.01.07	141.49
05.01.07	139.49
08.01.07	139.70
09.01.07	138.07
10.01.07	135.22
11.01.07	138.04
12.01.07	138.68
15.01.07	139.09
16.01.07	138.18
17.01.07	136.84
18.01.07	134.20
19.01.07	134.79
22.01.07	132.83
23.01.07	132.46
24.01.07	134.73
25.01.07	133.43
26.01.07	131.13
29.01.07	134.14
30.01.07	135.86
31.01.07	135.76
01.02.07	136.81
02.02.07	137.85
05.02.07	138.16
06.02.07	138.35
07.02.07	139.13
08.02.07	138.68
09.02.07	139.02
12.02.07	136.96
13.02.07	137.79
14.02.07	138.90
15.02.07	138.70
16.02.07	138.09
19.02.07	138.35
20.02.07	137.71
21.02.07	138.91
22.02.07	144.60
23.02.07	145.59
26.02.07	149.96
27.02.07	144.27
28.02.07	144.44
01.03.07	140.96
02.03.07	139.53
05.03.07	137.98
06.03.07	139.17
07.03.07	138.77
08.03.07	140.21
09.03.07	140.10
12.03.07	139.30
13.03.07	137.32
14.03.07	131.56
15.03.07	133.20
16.03.07	132.22
19.03.07	134.43
20.03.07	134.63
21.03.07	134.07
22.03.07	139.05
23.03.07	138.70
26.03.07	136.29
27.03.07	136.69
28.03.07	135.20
29.03.07	136.88
30.03.07	136.39
02.04.07	137.49
03.04.07	139.76
04.04.07	140.20
05.04.07	140.07
10.04.07	140.39
11.04.07	140.99
12.04.07	141.65
13.04.07	142.95
16.04.07	147.01
17.04.07	146.86
18.04.07	145.26
19.04.07	143.78
20.04.07	146.86
23.04.07	146.19
24.04.07	144.28
25.04.07	145.82
26.04.07	146.65
27.04.07	147.21
30.04.07	147.92
02.05.07	147.92
03.05.07	148.11
04.05.07	149.38
07.05.07	148.76
08.05.07	146.11
09.05.07	146.83
10.05.07	145.30
11.05.07	145.67
14.05.07	145.11
15.05.07	146.78
16.05.07	144.98
17.05.07	145.29
18.05.07	146.52
21.05.07	146.51
22.05.07	147.97
23.05.07	148.24
24.05.07	146.80
25.05.07	147.93
29.05.07	148.36
30.05.07	147.19
31.05.07	149.83
01.06.07	154.46
04.06.07	156.77
05.06.07	155.46
06.06.07	153.01
07.06.07	150.49
08.06.07	148.10
11.06.07	153.15
12.06.07	152.45
13.06.07	150.76
14.06.07	153.49
15.06.07	157.12
18.06.07	158.05
19.06.07	158.95
20.06.07	162.21
21.06.07	158.64
22.06.07	161.24
25.06.07	161.90
26.06.07	158.25
27.06.07	155.15
28.06.07	156.71
29.06.07	157.63
02.07.07	154.29
03.07.07	157.07
04.07.07	158.20
05.07.07	155.42
06.07.07	155.37
09.07.07	155.78
10.07.07	154.56
11.07.07	152.34
12.07.07	155.23
13.07.07	157.12
16.07.07	158.56
17.07.07	156.84
18.07.07	153.59
19.07.07	154.87
20.07.07	151.38
23.07.07	152.54
24.07.07	148.82
25.07.07	145.51
26.07.07	141.65
27.07.07	138.83
30.07.07	138.06
31.07.07	142.01
01.08.07	139.77
02.08.07	142.20
03.08.07	139.65
06.08.07	140.38
07.08.07	143.47
08.08.07	146.52
09.08.07	143.00
10.08.07	139.19
13.08.07	142.92
14.08.07	141.20
15.08.07	139.79
16.08.07	138.60
17.08.07	143.50
20.08.07	144.51
21.08.07	144.11
22.08.07	145.24
23.08.07	144.48
24.08.07	143.15
27.08.07	142.26
28.08.07	140.52
29.08.07	140.21
30.08.07	141.26
31.08.07	142.85
03.09.07	142.02
04.09.07	143.98
05.09.07	141.25
06.09.07	142.08
07.09.07	137.90
10.09.07	136.93
11.09.07	137.79
