Date	Close
2.7.2010	80.3
5.7.2010	79.75
6.7.2010	81.2
7.7.2010	82.4
8.7.2010	83.13
9.7.2010	83.95
12.7.2010	84.55
13.7.2010	85.65
14.7.2010	86.79
15.7.2010	86.38
16.7.2010	84.9
19.7.2010	84.65
20.7.2010	84.48
21.7.2010	84.4
22.7.2010	86.27
23.7.2010	86.8
26.7.2010	87.81
27.7.2010	89.2
28.7.2010	89
29.7.2010	88.87
30.7.2010	88.7
2.8.2010	91.2
3.8.2010	90.8
4.8.2010	91.45
5.8.2010	90.25
6.8.2010	90.25
9.8.2010	91.15
10.8.2010	89.81
11.8.2010	87.1
12.8.2010	86.64
13.8.2010	86.9
16.8.2010	86.33
17.8.2010	87
18.8.2010	86.49
19.8.2010	84.41
20.8.2010	82.65
23.8.2010	82.72
24.8.2010	80.82
25.8.2010	80.99
26.8.2010	80.8
27.8.2010	81.6
30.8.2010	81.08
31.8.2010	80.92
1.9.2010	83.5
2.9.2010	83.61
3.9.2010	84.5
6.9.2010	84.52
7.9.2010	83.4
8.9.2010	84
9.9.2010	83.81
10.9.2010	83.9
13.9.2010	84.95
14.9.2010	85.95
15.9.2010	86.03
16.9.2010	85.62
17.9.2010	83.94
20.9.2010	84.33
21.9.2010	84.21
22.9.2010	83.43
23.9.2010	83.3
24.9.2010	84.7
27.9.2010	84.28
28.9.2010	84.05
29.9.2010	83.66
30.9.2010	83.12
1.10.2010	83.1
4.10.2010	82.04
5.10.2010	83.05
6.10.2010	84.43
7.10.2010	84.92
8.10.2010	84.77
11.10.2010	84.45
12.10.2010	84.2
13.10.2010	86.67
14.10.2010	87.28
15.10.2010	87.8
18.10.2010	88.6
19.10.2010	88.62
20.10.2010	88.88
21.10.2010	89.4
22.10.2010	89.65
25.10.2010	89.22
26.10.2010	89.27
27.10.2010	88.9
28.10.2010	90.38
29.10.2010	90.05
1.11.2010	89.87
2.11.2010	90.7
3.11.2010	90.07
4.11.2010	91.6
5.11.2010	92.5
8.11.2010	92.69
9.11.2010	92.52
10.11.2010	90.57
11.11.2010	89.3
12.11.2010	89.45
15.11.2010	89.87
16.11.2010	88.73
17.11.2010	90.4
18.11.2010	91.15
19.11.2010	91.21
22.11.2010	90.66
23.11.2010	88.95
24.11.2010	88.49
25.11.2010	88.2
26.11.2010	86.85
29.11.2010	85.95
30.11.2010	85.25
1.12.2010	86.32
2.12.2010	87.55
3.12.2010	86.49
6.12.2010	85.9
7.12.2010	86.21
8.12.2010	88.26
9.12.2010	90.8
10.12.2010	90.54
13.12.2010	90.71
14.12.2010	90.7
15.12.2010	90.03
16.12.2010	90.3
17.12.2010	90
20.12.2010	90.65
21.12.2010	90.91
22.12.2010	90.68
23.12.2010	90.35
27.12.2010	89.6
28.12.2010	89.7
29.12.2010	89.73
30.12.2010	88.96
3.1.2011	90
4.1.2011	90.18
5.1.2011	89.89
6.1.2011	91.22
7.1.2011	90.9
10.1.2011	90.3
11.1.2011	89.6
12.1.2011	91.8
13.1.2011	94.45
14.1.2011	95.2
17.1.2011	95.15
18.1.2011	96.9
19.1.2011	96.01
20.1.2011	97.01
21.1.2011	98.1
24.1.2011	98.7
25.1.2011	97.43
26.1.2011	97.38
27.1.2011	101.55
28.1.2011	99.9
31.1.2011	101.67
1.2.2011	106.21
2.2.2011	105.65
3.2.2011	105.5
4.2.2011	105.8
7.2.2011	105.83
8.2.2011	106.79
9.2.2011	106.36
10.2.2011	105.8
11.2.2011	106.2
14.2.2011	105.48
15.2.2011	106.12
16.2.2011	107.58
17.2.2011	107.5
18.2.2011	107.85
21.2.2011	106
22.2.2011	105
23.2.2011	103.95
24.2.2011	101.65
25.2.2011	103.1
28.2.2011	104.6
1.3.2011	103.2
2.3.2011	102.4
3.3.2011	104.46
4.3.2011	104.3
7.3.2011	104.45
8.3.2011	104.6
9.3.2011	104.4
10.3.2011	101.7
11.3.2011	99.2
14.3.2011	96.4
15.3.2011	93.45
16.3.2011	90.5
17.3.2011	95
18.3.2011	93.6
21.3.2011	97.9
22.3.2011	96.9
23.3.2011	97.7
24.3.2011	99.2
25.3.2011	98.49
28.3.2011	98.85
29.3.2011	98
30.3.2011	101
31.3.2011	99.39
1.4.2011	100.7
4.4.2011	100.3
5.4.2011	100.85
6.4.2011	101.69
7.4.2011	102.15
8.4.2011	103.4
11.4.2011	104.27
12.4.2011	103.56
13.4.2011	103.95
14.4.2011	103
15.4.2011	103.5
18.4.2011	99.18
19.4.2011	99.2
20.4.2011	101.45
21.4.2011	102.25
26.4.2011	103.15
27.4.2011	104.37
28.4.2011	105.55
29.4.2011	106.3
2.5.2011	106
3.5.2011	105.75
4.5.2011	105
5.5.2011	101.3
6.5.2011	100.7
9.5.2011	99.85
10.5.2011	100.9
11.5.2011	100.79
12.5.2011	100.38
13.5.2011	98.4
16.5.2011	97.5
17.5.2011	96.65
18.5.2011	97.4
19.5.2011	97.45
20.5.2011	96.6
23.5.2011	93.9
24.5.2011	93.48
25.5.2011	94.9
26.5.2011	94.38
27.5.2011	95.38
30.5.2011	94.5
31.5.2011	96.41
1.6.2011	94.66
2.6.2011	93.19
3.6.2011	93.21
6.6.2011	91.7
7.6.2011	92.74
8.6.2011	91.8
9.6.2011	93.59
10.6.2011	92.21
13.6.2011	92.18
14.6.2011	93.98
15.6.2011	92.21
16.6.2011	92
17.6.2011	93.35
20.6.2011	93.33
21.6.2011	95.16
22.6.2011	95.06
23.6.2011	94.3
24.6.2011	92.1
27.6.2011	91.88
28.6.2011	93.1
29.6.2011	94.9
30.6.2011	96
1.7.2011	97.4
4.7.2011	97.3
5.7.2011	97.55
6.7.2011	96.6
7.7.2011	97
8.7.2011	95.44
11.7.2011	91.36
12.7.2011	90
13.7.2011	91
14.7.2011	89.79
15.7.2011	89.34
18.7.2011	87.63
19.7.2011	89.86
20.7.2011	90.87
21.7.2011	93.08
22.7.2011	93.39
25.7.2011	92.26
26.7.2011	92.85
27.7.2011	91.21
28.7.2011	92.5
29.7.2011	90.77
1.8.2011	89.16
2.8.2011	86.26
3.8.2011	85.1
4.8.2011	81.6
5.8.2011	81
8.8.2011	75.6
9.8.2011	78
10.8.2011	73.08
11.8.2011	74.23
12.8.2011	77.29
15.8.2011	77.95
16.8.2011	75.6
17.8.2011	75.8
18.8.2011	71.81
19.8.2011	69.5
22.8.2011	69.46
23.8.2011	69.99
24.8.2011	70.22
25.8.2011	67.97
26.8.2011	66.5
29.8.2011	68.87
30.8.2011	68.25
31.8.2011	72.2
1.9.2011	70.88
2.9.2011	68.3
5.9.2011	63.98
6.9.2011	63.59
7.9.2011	65.85
8.9.2011	65.75
9.9.2011	61.8
12.9.2011	57.75
13.9.2011	59.79
14.9.2011	62.56
15.9.2011	65.9
16.9.2011	67.3
19.9.2011	63.73
20.9.2011	64.79
21.9.2011	62.42
22.9.2011	58.35
23.9.2011	59.1
26.9.2011	64.5
27.9.2011	70.56
28.9.2011	69.46
29.9.2011	71.91
30.9.2011	70.49
3.10.2011	67.49
4.10.2011	67.21
5.10.2011	71.44
6.10.2011	75.56
7.10.2011	75.5
10.10.2011	79.65
11.10.2011	78.8
12.10.2011	80.5
13.10.2011	79.06
14.10.2011	77.8
17.10.2011	76.26
18.10.2011	76.55
19.10.2011	78.7
20.10.2011	76.05
21.10.2011	78.55
24.10.2011	80.13
25.10.2011	79.85
26.10.2011	79.05
27.10.2011	84.78
28.10.2011	82.85
31.10.2011	81.15
1.11.2011	75.6
2.11.2011	76.54
3.11.2011	79.5
4.11.2011	76.85
7.11.2011	75.6
8.11.2011	76.71
9.11.2011	71.7
10.11.2011	73.03
11.11.2011	76.1
14.11.2011	74.68
15.11.2011	73.62
16.11.2011	73.3
17.11.2011	71.6
18.11.2011	71.7
21.11.2011	69.8
22.11.2011	69.05
23.11.2011	66.35
24.11.2011	66.5
25.11.2011	65.3
28.11.2011	70.59
29.11.2011	72.71
30.11.2011	76.21
1.12.2011	75.75
2.12.2011	78.1
5.12.2011	80.15
6.12.2011	80.01
7.12.2011	80.11
8.12.2011	76.85
9.12.2011	79.4
12.12.2011	74.415
13.12.2011	73.35
14.12.2011	71.9
15.12.2011	73.605
16.12.2011	72.36
19.12.2011	72.163
20.12.2011	75.293
21.12.2011	75.49
22.12.2011	76.25
23.12.2011	76.05
27.12.2011	75.35
28.12.2011	73.61
29.12.2011	73.6
30.12.2011	73.427
2.1.2012	76.4
3.1.2012	77.643
4.1.2012	76.26
5.1.2012	75.1
6.1.2012	74.1
9.1.2012	72.881
10.1.2012	75.61
11.1.2012	77.046
12.1.2012	78.329
13.1.2012	77.71
16.1.2012	78.55
17.1.2012	79.51
18.1.2012	80.55
19.1.2012	83.341
